x1,x2
2.9142137,0.08578646
-0.13353586,-5.616464
-0.23478985,-7.0985436
2.28256,-0.9492267
8.116062,-0.61606216
10.21699,0.7830095
3.063351,-0.50779533
19.285192,-0.2851925
5.478178,-0.22817802
0.8827822,-1.1327822
5.806659,-0.20665932
-0.93844724,-5.061553
-0.03143533,-5.301898
1.1794496,-3.1794496
0.8323641,-3.2609355
-0.5917517,-1.4082483
5.55153,0.6484699
0.0,-2.0
9.91608,-1.91608
7.5446167,-0.3446167
10.884572,-0.551239
5.2710233,-0.2710236
0.8541019,-5.854102
14.728416,0.27158403
3.0,-0.6666667
0.054886103,-4.554886
-1.0,-7.0
16.262087,0.73791265
0.9178399,-2.04284
-0.4460322,-8.220634
5.385678,-0.18567772
-0.27961826,-4.4703817
-0.40958595,-17.090414
2.0,-4.0
3.7110722,0.5389278
27.928389,0.071611404
0.03659079,-3.0365908
6.171293,0.16204071
0.79076046,-1.1240938
0.3588988,-8.358899
0.0,-12.333333
-0.087965965,-7.578701
0.7380408,-1.8630408
0.7231109,-6.223111
-0.6198007,-3.6301994
3.968502,0.031498075
-0.26794922,-3.732051
1.2943618,-5.794362
0.4360695,-2.2932124
3.3597488,0.52914006
7.9327297,0.56727004
4.0,-0.71428573
-0.47934446,-2.9206555
4.431798,-0.6317978
0.26420483,-5.407062
2.297848,-0.7978479
0.25780487,-7.757805
4.757965,0.042034723
2.0,-6.0
1.163458,-1.7190136
0.37832668,-5.6640406
-0.091415405,-16.408585
2.5095835,-0.39847246
12.82708,-0.4937471
4.915476,-0.91547585
1.1964847,-0.69648474
-0.68191326,-3.0958645
30.870426,0.12957382
-0.032393456,-7.7176065
0.0,-10.666667
0.07830191,-9.578302
-0.4758253,-31.524174
11.412376,0.08762407
0.918402,-3.0850687
1.2430395,-1.7430395
-0.5885622,-1.9114377
20.148891,-0.14889145
4.5704823,-0.82048225
3.141941,0.35805893
10.743848,0.5894845
1.6503677,-5.1503677
1.5198736,-1.6448736
0.28041595,-3.5661302
3.6861405,0.81385934
-0.45308185,-1.2612039
9.9263,-0.17629957
36.384777,-0.38477707
-0.6,-1.0
6.5619254,-0.2285916
2.6991735,-0.32417333
-0.6458981,-7.354102
-0.7230673,-26.276932
1.4637216,-0.797055
0.6827121,-13.182713
1.0,1.0
0.17129262,-5.8379593
2.0751839,-1.3251839
-0.68779755,-13.812202
21.862782,0.13721943
1.0,-0.5714286
1.6286669,0.20466638
0.6995145,-1.5884033
15.842194,0.1578064
32.41383,0.58616924
0.18614066,-2.6861405
0.3804762,-4.380476
2.7939198,0.9203659
5.085372,0.31462783
28.0,0.0
-0.34851614,-7.651484
-0.13823383,-6.028433
2.3251839,-1.0751839
0.1523944,-4.3746166
-0.12917137,-3.8708286
3.8942375,-0.7275707
0.3731432,-8.03981
1.6666666,1.0
11.723533,-0.056865692
5.689175,0.025110245
1.2912879,-3.291288
16.154755,-0.15475368
5.058031,0.6919689
2.6206343,-0.9539676
-0.46780872,-16.032192
7.819705,-0.319705
4.41796,0.58203983
0.12970352,-23.129704
-0.5876241,-11.912376
1.0976177,-3.0976176
8.329823,0.42017698
1.4759705,-1.1009705
33.911537,0.08846474
3.3375473,0.037452698
4.2524495,0.60469353
5.3333335,1.0
0.57697326,-9.24364
-0.11503184,-3.2599683
-0.26913917,-2.0641942
-0.20162582,-24.798374
0.65590286,-9.655903
0.7807764,-1.2807764
18.553898,-0.053896904
3.0,0.6666667
0.3071308,-3.9071307
0.40370095,-4.403701
-0.03152964,-3.524026
10.508058,0.15860844
5.210446,-0.5437794
-0.07809601,-5.121904
0.4760816,-4.726082
3.0395617,-0.6109904
4.7923336,-0.41733336
6.3572993,-0.15729943
0.15597408,-12.82264
1.0,0.125
3.9578903,0.042109966
-1.1882622,-6.311738
9.295832,-0.29583168
12.425221,0.24144427
0.546999,-6.9469986
-0.056349438,-3.9436505
1.7620499,-1.3620499
8.380678,0.1193223
5.7688746,0.23112552
0.2433981,-1.643398
-0.51043034,-8.48957
4.0291862,0.19303598
12.312202,-0.81220245
2.1317058,0.31273863
12.959871,0.5401287
-0.05892563,-33.941074
1.6666666,1.0
-0.7669697,-4.43303
1.5733844,-1.9067178
5.589454,-0.08945402
-0.46092796,-4.339072
0.5945196,-28.59452
0.4160258,-10.416026
-0.7712865,-1.7287135
0.22353673,-4.4735365
2.7025623,-1.2025625
1.6064283,-0.17785685
-0.5096404,-4.2046456
0.22222222,0.0
1.045085,-4.545085
4.8257422,1.1742581
0.37701455,-2.210348
2.5,0.0
0.8844373,-1.8844373
2.8333333,1.0
0.11672974,-4.2833962
-0.13579202,-7.364208
1.0,-6.0
2.812654,-0.81265396
0.1299556,-5.129956
0.09901953,-10.09902
0.3389325,-9.588932
1.1160622,-7.616062
0.0649778,-2.564978
0.060495377,-33.060493
7.8581247,-0.45812455
0.107275166,-3.107275
1.0,-1.0
8.623476,-1.6234756
-0.4808539,-4.8524795
2.4913561,-0.71357834
18.818829,-0.31882954
-0.1964937,-5.0892205
1.2857143,-1.0
1.5351838,-0.86851716
-0.17345142,-28.82655
3.9402308,0.28199133
3.9728131,-0.5978131
5.930194,0.26980573
7.08969,0.3103096
0.5355339,-6.535534
2.5215774,-0.39657724
0.70227146,-3.7022712
1.2618513,-1.3868513
0.07497713,-2.963866
5.5146675,-0.1813345
0.7110722,-2.4610722
-0.07217264,-6.9278274
0.56328106,-4.438281
4.3712316,0.22876854
-0.26679993,-33.7332
0.066084385,-7.5660844
2.4285715,0.0
0.0,-4.375
3.286796,-0.4867962
0.05521679,-9.055217
-0.90455484,-3.0954452
-0.7768891,-7.723111
0.1570406,-8.490375
-1.0,-1.5
-0.39251614,-19.107483
1.8281097,0.060779255
-0.2324081,-1.4342586
0.057650566,-2.8909838
4.625,0.0
1.2057581,-1.7771866
1.1306623,-0.53066236
0.0,-2.8888888
2.3211474,0.053852677
1.0,-0.625
4.138733,-0.8053994
1.427051,-1.927051
0.07518387,-3.3251839
4.8719244,-0.20525773
-0.8584789,-2.766521
2.8524792,-1.5191461
0.4182485,-12.751582
5.9520526,-0.9520524
0.54508495,-5.045085
0.52901554,-1.6540155
0.47703296,-1.6770328
3.345208,-1.3452079
0.5,-3.0
10.585256,-0.2519226
3.8973663,0.102633476
1.9206555,-0.5206555
5.4675384,0.36579528
5.636997,-0.886997
0.2071387,-12.873805
0.26376262,-1.2637626
0.47297966,-2.5840907
3.7472205,-0.7472204
12.251712,0.08162117
-0.48346096,-2.659396
0.41202265,-1.0786893
0.62347555,-9.623476
12.517834,-1.5178342
-0.32188648,-3.1066852
12.548416,0.4515845
-0.59528255,-3.7797174
4.510394,-0.3103941
1.1256312,-2.4113452
4.2360682,-0.23606794
0.10329764,-5.531869
6.4051247,-1.4051249
3.298648,0.12992342
0.5276928,-8.527693
4.7806067,-0.20917837
0.26527724,-2.931944
-1.0,-1.5
2.4285715,1.0
0.7966933,-11.296694
1.6846585,-10.684658
9.237163,-0.4871626
4.307131,0.092869185
0.61366147,-2.3279474
0.68552125,-3.542664
2.0,0.6666667
1.7245331,0.38657808
8.50925,-0.5092497
0.25634363,-3.0341215
-1.5,-3.0
-0.38844454,-3.8615556
-0.75,-3.0
0.26039863,-5.760399
4.50805,0.063378744
2.9466186,-0.74661845
3.2880168,-0.038016796
8.780555,-0.11388811
5.311738,0.18826222
3.5,0.6666667
0.17553672,-7.9755373
0.7748518,-3.4415185
5.8729835,-1.8729835
-0.1471901,-4.85281
1.5275253,-1.5275253
1.313226,0.5439168
3.5921903,0.18558778
0.30462041,-5.471287
9.552343,-0.05234337
-0.12400818,-5.375992
0.0,-2.0
0.20483685,-12.204837
6.818695,0.38130456
1.0,-2.0
